identifiant,timestamp,timestamp_string,nombre_impressions,prix_impression,prix_total,achat,budget_depense,bt,cible
216,1593147869,06-26-2020 07:04:29,0,1,0,0,302,0.05951645636636372,0.05952380952380952
217,1593147878,06-26-2020 07:04:38,6,1,6,1,308,0.059528274827350354,0.05952380952380952
218,1593147884,06-26-2020 07:04:44,5,1,5,0,308,0.05940375576494472,0.05952380952380952
219,1593147890,06-26-2020 07:04:50,2,1,2,0,308,0.05941162190196641,0.05952380952380952
220,1593147893,06-26-2020 07:04:53,1,1,1,0,308,0.05941555575174362,0.05952380952380952
221,1593147895,06-26-2020 07:04:55,2,1,2,0,308,0.05941817860768993,0.05952380952380952
222,1593147898,06-26-2020 07:04:58,6,1,6,0,308,0.059422113325828314,0.05952380952380952
223,1593147904,06-26-2020 07:05:04,6,1,6,0,308,0.05942998432567278,0.05952380952380952
224,1593147905,06-26-2020 07:05:05,2,1,2,0,308,0.05943129636170964,0.05952380952380952
225,1593147905,06-26-2020 07:05:05,1,1,1,0,308,0.05943129636170964,0.05952380952380952
226,1593147911,06-26-2020 07:05:11,4,1,4,0,308,0.05943916979465666,0.05952380952380952
227,1593147917,06-26-2020 07:05:17,12,1,12,0,308,0.0594470453140182,0.05952380952380952
228,1593147920,06-26-2020 07:05:20,4,1,4,0,308,0.0594509838563636,0.05952380952380952
229,1593147923,06-26-2020 07:05:23,2,1,2,0,308,0.0594549229206237,0.05952380952380952
230,1593147924,06-26-2020 07:05:24,2,1,2,0,308,0.05945623605804271,0.05952380952380952
231,1593147925,06-26-2020 07:05:25,3,1,3,0,308,0.05945754925346762,0.05952380952380952
232,1593147927,06-26-2020 07:05:27,2,1,2,0,308,0.05946017581835049,0.05952380952380952
233,1593147929,06-26-2020 07:05:29,2,1,2,0,308,0.059462802615303054,0.05952380952380952
234,1593147934,06-26-2020 07:05:34,5,1,5,0,308,0.059469370623191284,0.05952380952380952
235,1593147938,06-26-2020 07:05:38,6,1,6,0,308,0.059474626074277004,0.05952380952380952
236,1593147941,06-26-2020 07:05:41,6,1,6,0,308,0.05947856827220504,0.05952380952380952
237,1593147941,06-26-2020 07:05:41,0,1,0,0,308,0.05947856827220504,0.05952380952380952
238,1593147948,06-26-2020 07:05:48,5,1,5,0,308,0.0594877687667116,0.05952380952380952
239,1593147953,06-26-2020 07:05:53,1,1,1,0,308,0.059494342291371995,0.05952380952380952
240,1593147956,06-26-2020 07:05:56,4,1,4,0,308,0.059498287103547355,0.05952380952380952
241,1593147960,06-26-2020 07:06:00,5,1,5,0,308,0.05950354766693928,0.05952380952380952
242,1593147964,06-26-2020 07:06:04,6,1,6,0,308,0.059508809160642835,0.05952380952380952
243,1593147967,06-26-2020 07:06:07,4,1,4,0,308,0.05951275589158597,0.05952380952380952
244,1593147971,06-26-2020 07:06:11,3,1,3,0,308,0.05951801901392881,0.05952380952380952
245,1593149008,06-26-2020 07:23:28,6,1,6,1,314,0.060914624488041094,0.05952380952380952
246,1593149012,06-26-2020 07:23:32,4,1,4,1,318,0.060784358098169226,0.05952380952380952
247,1593149015,06-26-2020 07:23:35,5,1,5,1,323,0.060697958629430136,0.05952380952380952
248,1593149019,06-26-2020 07:23:39,3,1,3,1,326,0.06059028563668462,0.05952380952380952
249,1593149022,06-26-2020 07:23:42,3,1,3,1,329,0.06052649448833156,0.05952380952380952
250,1593149023,06-26-2020 07:23:43,5,1,5,1,334,0.06045995744488207,0.05952380952380952
251,1593149026,06-26-2020 07:23:46,6,1,6,1,340,0.060350877192982454,0.05952380952380952
252,1593149030,06-26-2020 07:23:50,5,1,5,1,345,0.06022050666727038,0.05952380952380952
253,1593149033,06-26-2020 07:23:53,1,1,1,1,346,0.06011139286361167,0.05952380952380952
254,1593149041,06-26-2020 07:24:01,5,1,5,1,351,0.06009963768115942,0.05952380952380952
255,1593149998,06-26-2020 07:39:58,6,1,6,1,357,0.061315186445385736,0.05952380952380952
256,1593150000,06-26-2020 07:40:00,2,1,2,1,359,0.0611791393717738,0.05952380952380952
257,1593150007,06-26-2020 07:40:07,6,1,6,1,365,0.061142751308052044,0.05952380952380952
258,1593150011,06-26-2020 07:40:11,2,1,2,1,367,0.061009492938180136,0.05952380952380952
259,1593150014,06-26-2020 07:40:14,8,1,8,1,375,0.06096742075161507,0.05952380952380952
260,1593150014,06-26-2020 07:40:14,1,1,1,1,376,0.06078217982263181,0.05952380952380952
261,1593150018,06-26-2020 07:40:18,4,1,4,1,380,0.060764652756871915,0.05952380952380952
262,1593150020,06-26-2020 07:40:20,9,1,9,1,389,0.06067483383895695,0.05952380952380952
263,1593150022,06-26-2020 07:40:22,0,1,0,1,389,0.060469209569466637,0.05952380952380952
264,1593150030,06-26-2020 07:40:30,5,1,5,1,394,0.06048041509346552,0.05952380952380952
265,1593150032,06-26-2020 07:40:32,1,1,1,1,395,0.06036739326831754,0.05952380952380952
266,1593150033,06-26-2020 07:40:33,1,1,1,1,396,0.06034562638991846,0.05952380952380952
267,1593150037,06-26-2020 07:40:37,2,1,2,1,398,0.06032805115373923,0.05952380952380952
268,1593150041,06-26-2020 07:40:41,2,1,2,1,400,0.06028730305838739,0.05952380952380952
269,1593150043,06-26-2020 07:40:43,10,1,10,1,410,0.06024375550303536,0.05952380952380952
270,1593150046,06-26-2020 07:40:46,5,1,5,1,415,0.06001622060016221,0.05952380952380952
271,1593150049,06-26-2020 07:40:49,8,1,8,1,423,0.059904523544679275,0.05952380952380952
272,1593150054,06-26-2020 07:40:54,3,1,3,1,426,0.05972605279625466,0.05952380952380952
273,1593150057,06-26-2020 07:40:57,0,1,0,1,426,0.05966067124049694,0.05952380952380952
274,1593150063,06-26-2020 07:41:03,11,1,11,1,437,0.0596689693541657,0.05952380952380952
275,1593150068,06-26-2020 07:41:08,0,1,0,0,437,0.05942086105765887,0.05952380952380952
276,1593150070,06-26-2020 07:41:10,4,1,4,0,437,0.059423616424381535,0.05952380952380952
277,1593150075,06-26-2020 07:41:15,0,1,0,0,437,0.05943050595928211,0.05952380952380952
278,1593150080,06-26-2020 07:41:20,2,1,2,0,437,0.059437397091904175,0.05952380952380952
279,1593150085,06-26-2020 07:41:25,2,1,2,0,437,0.0594442898228036,0.05952380952380952
